id,here_name
131,"Łukaszewicz Marta"
132,"Mandić David"
133,"Mardosa Jonas"
134,"Marinčák Šimon"
135,"Marinković Dušan"
136,"Marjanić Suzana"
137,"Marks Ljiljana"
138,"Marti Roland"
139,"Martínek Jiří"
140,"Marvan Jiří"
141,"Mažara Jekaterina"
142,"Meić Perina"
143,"Menac-Mihalić Mira"
144,"Mengel Swetlana"
145,"Menzel Thomas"
146,"Metz E."
147,"Mezeiová Adelaida"
148,"Mihaljević Milan"
149,"Mikos Zenon"
150,"Mírovský Jiří"
151,"Miškinienė G."
152,"Moracci Giovanna"
153,"Morard Annick"
154,"Moroz-Grzelak Lilla"
155,"Morozova N."
156,"Moshe Taube"
157,"Mushchinina Maria"
158,"Nagel Lydia"
159,"Niebrzegowska-Bartmińska Stanisława"
160,"Nikolić Davor"
161,"Novitskaya O."
162,"Olteanu Antoaneta"
163,"Opašić Maja"
164,"Orel Irena"
165,"Orr Robert"
166,"Osinkina Lyubov’"
167,"Panevová Jarmila"
168,"Papcunová Jana"
169,"Patráš Vladimír"
170,"Paulsen Martin"
171,"Peeters-Podgaevskaja Alla"
172,"Pejoska-Bouchereau Frosa"
173,"Perotto Monica"
174,"Pęzik Piotr"
175,"Pineda David"
176,"Pliško Lina"
177,"Podmaková Dagmar"
178,"Polowy Teresa"
179,"Post Margje"
180,"Příhoda Marek"
181,"Profantová Naděžda"
182,"Profantová Zuzana"
183,"Putsileva Larisa"
184,"Rabus Achim"
185,"Radünzel Claudia"
186,"Rassokhina Elena"
187,"Rathmayr Renate"
188,"Richter Angela"
189,"Romoli Francesca"
190,"Rosen Alexander"
191,"Rosén Thomas"
192,"Rouhier-Willoughby Jeanmarie"
193,"Rudan Evelina"
194,"Rudnik-Karwatowa Zofia"
195,"Sabbatini Marco"
196,"Salmon Laura"
197,"Samardžija M."
198,"Sawaniewska-Mochowa Zofia"
199,"Sawicka Irena"
200,"Scharlaj Marina"
201,"Scheller-Boltz Dennis"
202,"Scholze Lenka"
203,"Scholze-Šołta Dietrich"
204,"Sesar Dubravka"
205,"Siatkowski Janusz"
206,"Siedina Giovanna"
207,"Sierociuk Jerzy"
208,"Siilin Lea"
209,"Šimić Marinka"
210,"Šipková Milena"
211,"Šivic-Dular Alenka"
212,"Škoviera Andrej"
213,"Sokołowski Jan"
214,"Šołćina Jana"
215,"Stankovska Petra"
216,"Stefanovic Aleksandar"
217,"Stefański Michał"
218,"Stern D."
219,"Stolac Diana"
220,"Sulpasso Bianca"
221,"Symaniec Virginie"
222,"Szíártó Imre"
223,"Tafra Branka"
224,"Tambor Jolanta"
225,"Taseva Lora"
226,"Temčin S."
227,"Tesch Sviatlana"
228,"Tetean Diana"
229,"Thielemann Nadine"
230,"Thomson F."
231,"Torkar Silvo"
232,"Tošović Branko"
233,"Trawińska Maria"
234,"Trawinski Beata"
235,"Trojanowska Beata"
236,"Trovesi Andrea"
237,"Turk Marija"
238,"Twaranowicz Halina"
239,"Urbancová Viera"
240,"Vakareliyska Cynthia"
241,"Vaneková Oľga"
242,"Velmezova Ekaterina"
243,"Vepřek Miroslav"
244,"Vinţeler Onufrie"
245,"Vrinat-Nikolov Marie"
246,"Walczak Bogdan"
247,"Warditz Vladislava"
248,"Weiss Daniel"
249,"Wiemer Björn"
250,"Wingender Monika"
251,"Wiśniewska Lidia"
252,"Woldan Alois"
253,"Wöll Alexander"
254,"Wonisch Arno"
255,"Woolhiser Curt"
256,"Wrocławski Krzysztof"
257,"Yudin O."
258,"Žagar Mateo"
259,"Zavarský Svorad"
260,"Žekulin Nicholas"
261,"Žele Andreja"
262,"Žeňuch Peter"
263,"Žeňuchová Katarína"
264,"Zhirovova A.N."
265,"Zieliński Bogusław"
266,"Zinkevich Andrej"
267,"Zoltán András"
268,"Åkerman Sarkisian Karine"
269,"Björnflaten Jan Ivar"
270,"Chiara Ferro Maria"
271,"Connolly Julian W."
272,"De Dobbeleer М."
273,"De La Fortelle Anastassia"
274,"Del Gaudio Salvatore"
275,"Flier Michael S."
276,"Kenneweg Anne Cornelia"
277,"Kranjc Ivič Mira"
278,"Legan Ravnikar Andreja"
279,"MacRobert Catherine Mary"
280,"Mikolajczak Aleksander Wojciech"
281,"Mladenova Olga M."
282,"Protrka Štimec Marina"
283,"Radan N. Mihai"
284,"Rembiszewska Dorota Krystyna"
285,"Stramljič Breznik Irena"
286,"Tomelleri Vittorio S."
287,"Villnow Komárková Jana"
288,"Waldenfels Ruprecht von"
289,"Yudin Aleksey V."
290,"Zaradija Kiš Antonija"
291,"Zeller Jan Patrick"
292,"Автухович Т.Е."
293,"Агапкина Т.А."
294,"Адельгейм И.Е."
295,"Ajdačić Dejan"
296,"Алексеев А.А."
297,"Алексеева Мадина"
298,"Ананьева Н.Е."
299,"Ананьева Светлана"
300,"Антонова-Василева Лучия"
301,"Антропов Н.П."
302,"Апресян Юрий"
303,"Аризанковска Лидия"
304,"Афанасьева Т.И."
305,"Байич Лиляна"
306,"Балакова Д."
307,"Баранкова Г.С."
308,"Барентсен А."
309,"Белова О.В."
310,"Berezovič Elena"
311,"Бжозовская Дорота"
312,"Богданова Н.Н."
313,"Богуславский Игорь"
314,"Бойович Злата"
315,"Бојовић Драга"
316,"Бондарко А.В."
317,"Бошкович Драган"
318,"Брборич Велько"
319,"Брицин В.М."
320,"Будагова Л.Н."
321,"Будзько Ірына"
322,"Буняк Петар"
323,"Бурдакова О.Н."
324,"Бьелетич Марта"
325,"Валенцова М.М."
326,"Валодзіна Т.В."
327,"Вальтер Х."
328,"Варбот Ж.Ж."
329,"Васильев В.Л."
330,"Васильева Л.П."
331,"Вахнина Л.К."
332,"Вачкова Кина"
333,"Вендина Т.И."
334,"Веновска-Антевска Снежана"
335,"Верещагин Е.М."
336,"Вернер И.В."
337,"Виднянский С.В."
338,"Вихованець Іван"
339,"Влайич-Попович Ясна"
340,"Волкава Яўгенія"
341,"Вражиновски Танас"
342,"Всеволодова Майя"
343,"Вукичевич Драгана"
344,"Гаврюшина Л.К."
345,"Гайда Станислав"
346,"Гаранін С.Л."
347,"Гардзанити Марчелло"
348,"Геoргиева С."
349,"Герасимова И.В."
350,"Гешев Валентин"
351,"Гиппиус А.А."
352,"Глушица Рајка"
353,"Городенська Катерина"
354,"Грабович Григорий"
355,"Гриценко П.Е."
356,"Гундорова Тамара"
357,"Ѓурчинов Милан"
358,"Данилевская О.Н."
359,"Даниленко Л.И."
360,"Даніловіч М.А."
361,"Делич Йован"
362,"Дергач Д.В."
363,"Дзюба Иван"
364,"Домиловская Л.В."
365,"Драгичевич Райна"
366,"Дуличенко А.Д."
367,"Духанина А.В."
368,"Дыбо В.А."
369,"Дымарский М.Я."
370,"Желе Андреа"
371,"Загнітко Анатолій"
372,"Запольская Н.Н."
373,"Запрудскі С.М."
374,"Зубов Н.И."
375,"Иванич Душан"
376,"Иванов Е.Е."
377,"Иванова Е.Ю."
378,"Иванова Ирина"
379,"Иванова Ценка"
380,"Иващенко В.Л."
381,"Ивченков В.И."
382,"Ильина Г.Я."
383,"Иомдин Леонид"
384,"Ичиро Ито"
385,"Іваницька Ніна"
386,"Йованович Гордана"
387,"Йович Боян"
388,"Йоканович-Михайлов Елица"
389,"Јесеншек Марко"
390,"Јовановић Миодраг"
391,"Казимирова И.А."
392,"Калезиħ Димитриjе"
393,"Канюшкевіч М.І."
394,"Капушевска-Дракулевска Лидија"
395,"Каранфиловски Максим"
396,"Карацуба М.Ю."
397,"Карпиловская Е.А."
398,"Касаткин Л.Л."
399,"Касаткина Р.Ф."
400,"Касперский Эдвард"
401,"Кемппанен Ханну"
402,"Китанова Мария"
403,"Кісліцына Г.М."
404,"Кликовац Душка"
405,"Клименко Н.Ф."
406,"Клімаў І.П."
407,"Клостерберг Бритта"
408,"Князев Ю.П."
409,"Ковалёв Сергей"
410,"Коваль В.И."
411,"Ковачевич Милош"
412,"Ковпик В.А."
413,"Козак Степан"
414,"Колева Красимира"
415,"Колер Гун-Брит"
416,"Колосова В.Б."
417,"Корда-Петрович Александра"
418,"Корзо М.А."
419,"Корний Л.П."
420,"Коряковцева Елена"
421,"Кравецкий А.Г."
422,"Крамариќ Златко"
423,"Кржишник Э."
424,"Крусате М."
425,"Крылова Татьяна"
426,"Крысько В.Б."
427,"Кузнецова Т."
428,"Куркина Л.В."
429,"Кэйко Митани"
430,"Лаброска Веселинка"
431,"Лаптева Л.П."
432,"Летучий А.Б."
433,"Лукашанец Елена"
434,"Лукінова Т.Б."
435,"Лявонава Е.А."
436,"Мажэйка Зінаіда"
437,"Макарцев М.М."
438,"Макеева И.И."
439,"МакМілін Арнольд"
440,"Маленко Билjана"
441,"Марковиќ Јордана"
442,"Марковиќ Марјан"
443,"Мароевич Радмило"
444,"Марозаў А.В."
445,"Масенко Л.Т."
446,"Матович Весна"
447,"Медведик Юрій"
448,"Мезенка Ганна"
449,"Мельнікава А.М."
450,"Менгель Светлана"
451,"Микитенко О.О."
452,"Минлос Ф.Р."
453,"Миркуловска Милица"
454,"Михайлова Катя"
455,"Михед П.В."
456,"Михеев С.М."
457,"Младенова Маргарита"
458,"Мозгунов В.В."
459,"Мойсиенко В.М."
460,"Мојсова-Чепишевска Весна"
461,"Мокиенко В.М."
462,"Молдован А.М."
463,"Мороз А.Б."
464,"Мосарская Мария"
465,"Мострова Татяна"
466,"Мркаль Зона"
467,"Мршевич-Радович Д."
468,"Мушкетик Л.Г."
469,"Мызников С.А."
470,"Навуменка Павел"
471,"Нахлик Е.К."
472,"Некрашевич-Короткая Жанна"
473,"Нещименко Г.П."
474,"Ника О.И."
475,"Никифоров К.В."
476,"Николаев С.Л."
477,"Николенкова Н.В."
478,"Николова Светлина"
479,"Нікіцевіч А.В."
480,"Німчук В.В."
481,"Норман Б.Ю."
482,"Огиенко И.С."
483,"Онхайзер Ингеборг"
484,"Остапчук О.А."
485,"Пандев Димитар"
486,"Паневова Ярмила"
487,"Панчевска Ангелина"
488,"Пентковская Т.В."
489,"Петрухина Елена"
490,"Пеянович Aнна"
491,"Пивторак Г.П."
492,"Пилипенко Г.П."
493,"Пипер Предраг"
494,"Пичхадзе А.А."
495,"Плетнева А.А."
496,"Плотникова А.А."
497,"Плунгян В.А."
498,"Поповиħ Људмила"
499,"Порицкая С.И."
500,"Поташенко Григорий"
501,"Прискока О.В."
502,"Прыгодзіч М.Р."
503,"Пчелинцева Е.Э."
504,"Пьералли Клаудия"
505,"Рагойша В.П."
506,"Радева Василка"
507,"Раденкович Любинко"
508,"Радзиевская Т.В."
509,"Радич Првослав"
510,"Радышевский Ростислав"
511,"Рамза Т.Р."
512,"Рахилина Е.В."
513,"Реметич Слободан"
514,"Ристески Димитрија"
515,"Ристич Стана"
516,"Робинсон М.А."
517,"Рогачевская Екатерина"
518,"Рождественская М.В."
519,"Роўда І.С."
520,"Руда Е.Г."
521,"Рудяков П.М."
522,"Русак В.П."
523,"Рычкова Л.В."
524,"Саверчанка І.В."
525,"Сазонова Л.И."
527,"Sedakowa Irina"
528,"Сичинава Дмитрий"
529,"Скорвид С.С."
530,"Скрипник A.A."
531,"Смулкова Эльжбета"
532,"Соболь Валентина"
533,"Соколова С.О."
534,"Солонская Н.Г."
535,"Старикова Н.Н."
536,"Степанова Л."
537,"Стойков Веселин"
538,"Стойкова Ана"
539,"Стојановић Јелица"
540,"Стојменска-Елзесер Соња"
541,"Страмлич-Брезник Ирена"
542,"Субиото Намита"
543,"Сувайджич Бошко"
544,"Сурикова Т.И."
545,"Суркова Елена"
546,"Суша Алесь"
547,"Танасич Срето"
548,"Тараненко А.А."
549,"Тарэлка М.У."
550,"Тер-Аванесова А.В."
551,"Толстая М.Н."
552,"Tolstaja Svetlana M."
553,"Томеллери Витторио"
554,"Томић Лидија"
555,"Топич Мирослав"
556,"Тополињска Зузана"
557,"Топорков А.Л."
558,"Торкар Сильво"
559,"Тошович Бранко"
560,"Труб В.М."
561,"Трус М.В."
562,"Туровская Л.В."
563,"Тычына М.А."
564,"Узенева Е.С."
565,"Ухванова-Шмыгова И.Ф."
566,"Финк Ж."
567,"Франчук В.Ю."
568,"Фумиаки Хаттори"
569,"Харытончык Зінаіда"
570,"Хаўстовіч Мікола"
571,"Хлебда Войцех"
572,"Храковский В.С."
573,"Христова-Шомова Искра"
574,"Цибранска-Костова Мария"
575,"Цыхун Генадзь"
576,"Чакърова Красимира"
577,"Чакърова-Бурлакова Юлиана"
578,"Чарота Іван"
579,"Черниш Т.О."
580,"Шарая В.М."
581,"Швед І.А."
582,"Шевченко Л.И."
583,"Шешкен А.Г."
584,"Широков В.А."
585,"Широкова Л.Ф."
586,"Штэйнер І.Ф."
587,"Шчэрбін В.К."
588,"Юдкин И.Н."
589,"Юми Накадзима"
590,"Яценко Н.А."
591,"Аврамова Цветанка Димчова"
592,"Барабаш Юрий Яковлевич"
593,"Баранов Виктор А."
594,"Бойко Наталия Васильевна"
595,"Бразаускене Елена Михайловна"
596,"Волкова Ольга Людвиговна"
597,"Гордеева Марина Юрьевна"
598,"Жулинский Николай Григорьевич"
599,"Иванова Диана Петрова"
600,"Капылоў Ігар Л."
601,"Клушина Н. И."
602,"Кожинова Алла Андреевна"
603,"Козлуджов Запрян Ангелов"
604,"Куцаров Иван Костадинов"
605,"Лассан Элеонора Руфимовна"
606,"Леонов Валерий Павлович"
607,"Лучик Василь Вікторович"
608,"Маркович Слободан Ж."
609,"Маровска Вера Тервел"
610,"Мельников Георгий Павлович"
611,"Мечковская Нина Б."
612,"Миронова Валентина Николаевна"
613,"Мотульский Роман Степанович"
614,"Онищенко Алексей Семенович"
615,"Скребцова Татьяна Геннадьевна"
616,"Чолакова Жоржета Петрова"
617,"Javorska Galina"
618,"Gjurkova Aleksandra"
619,"Pencev Vladimir"
620,"Rudenko Elena"
621,"Moskovich Wolf"
